OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
025926,New Brunswick Community College,470 York Street,Fredericton,ZZ,,,,"New Brunswick, CANADA E3b 5X4",Non-Degree 3 Plus Years (>= 2700 hours),Frgn Pub,2003,1,1,100,*,FL,2002,1,1,100,*,FL,2001,0,0,0,*,FL,,F,,11,1
011053,University of Oxford - St Hilda's College,Cowley Place,Oxford,ZZ,,,,ENGLAND OX4   1DY,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,0,50,*,FL,2002,0,1,50,*,FL,2001,1,1,14.2,*,FL,,F,,11,1
010525,University of Hertfordshire,College Lane,Hatfield,ZZ,,,,ENGLAND AL10 9AB,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,0,33.3,*,FL,2002,0,2,16.6,*,FL,2001,1,1,20,*,FL,,F,,11,1
021810,University of South Australia,70 North Terrace,Adelaide,ZZ,,,,"South Australia, AUSTRALIA 5000",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,2,33.3,*,FL,2002,1,2,40,*,FL,2001,1,2,33.3,*,FL,,F,,11,1
030338,University College of Cape Breton,1250 Grand Lake Road,Sydney,ZZ,,,,"Nova Scotia, CANADA B1P 6S9",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,1,33.3,*,FL,2002,0,0,0,*,FL,2001,0,2,0,*,FL,,F,,11,1
008148,University of Winnipeg,515 Portage Avenue,Winnipeg,ZZ,,,,"MB, CANADA R3B 2E9",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,2,25,*,FL,2002,0,2,0,*,FL,2001,0,0,0,*,FL,,F,,11,1
009698,Medicine Hat College,299 College Drive SE,Medicine Hat,ZZ,,,,"Alberta, CANADA T1A   3Y6",Associate's Degree,Frgn Pub,2003,0,1,25,*,FL,2002,0,1,20,*,FL,2001,1,2,16.6,*,FL,,F,,11,1
010584,Vrije Universiteit Brussels,Pleinlaan 2,Brussels,ZZ,,,,BELGIUM B-1050,Master's Degree or Doctor's Degree,Frgn Priv,2003,2,4,25,*,FL,2002,0,3,0,*,FL,2001,0,1,11.1,*,FL,,F,,11,1
030851,University of Wolverhampton,Wulfruna Street,Wolverhampton,ZZ,,,,ENGLAND WV1 1SB,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,1,25,*,FL,2002,0,1,20,*,FL,2001,1,2,16.6,*,FL,,F,,11,1
030869,American Grad School of Bus The Inst of Undergrad Bus Studies (The),"Place Des Anciens-Fosse's, 6",La Tour-De-Peilz,ZZ,,,,SWITZERLAND 1814,Master's Degree or Doctor's Degree,Frgn Priv,2003,1,3,25,*,FL,2002,0,0,0,*,FL,2001,0,1,0,*,FL,,F,,11,1
008913,Lakehead University,955 Oliver Road,Thunder Bay,ZZ,,,,"Ontario, CANADA P7B   5E1",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,0,20,*,FL,2002,0,2,16.6,*,FL,2001,1,3,20,*,FL,,F,,11,1
030887,Royal Scottish Academy of Music and Drama,100 Renfrew Street,Glasgow,ZZ,,,,SCOTLAND G2 3DB,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,1,20,*,FL,2002,1,1,20,*,FL,2001,0,3,0,*,FL,,F,,11,1
033494,"Queen Margaret University College, Edinburgh",Clerwood Terrace,Edinburgh,ZZ,,,,SCOTLAND EH12 8TS,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,0,20,*,FL,2002,0,3,20,*,FL,2001,1,2,50,*,FL,,F,,11,1
009421,Brandon University,270-18th Street,Brandon,ZZ,,,,"Manitoba, CANADA R7A   6A9",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,7,16.6,*,FL,2002,2,5,22.2,*,FL,2001,0,0,0,*,FL,,F,,11,1
010586,Institute of Social Studies,Kortenaerkade 12,The Hague,ZZ,,,,THE NETHERLANDS 2518 AX,Master's Degree or Doctor's Degree,Frgn Priv,2003,0,0,16.6,*,FL,2002,1,4,14.2,*,FL,2001,0,2,0,*,FL,,F,,11,1
010797,"National University of Ireland, Maynooth",NUI Maynooth,Maynooth,ZZ,,,,"Co. Kildare, IRELAND",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,3,16.6,*,FL,2002,1,3,33.3,*,FL,2001,0,0,0,*,FL,,F,,11,1
011071,University of Oxford - Christ Church,St Aldates,Oxford,ZZ,,,,"Oxfordshire, ENGLAND OX1   IDP",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,2,16.6,*,FL,2002,0,2,0,*,FL,2001,0,2,0,*,FL,,F,,11,1
011766,"University of London, Institute of Education",20 Bedford Way,London,ZZ,,,,ENGLAND WC1H  OAL,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,2,16.6,*,FL,2002,1,2,20,*,FL,2001,0,2,0,*,FL,,F,,11,1
012228,Humber College,205 Humber College Boulevard,Toronto,ZZ,,,,"Ontario, CANADA M9W 5L7",Bachelor's Degree,Frgn Pub,2003,1,5,16.6,*,FL,2002,0,0,0,*,FL,2001,0,1,0,*,FL,,F,,11,1
026043,Aalborg University,Frederiks Bajers Vej 5,Aalborg East,ZZ,,,,DENMARK 9220,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,3,16.6,*,FL,2002,0,3,0,*,FL,2001,0,0,0,*,FL,,F,,11,1
008368,Carleton University,1125 Colonel By Drive,Ottawa,ZZ,,,,"Ontario, CANADA K1S   5B6",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,3,15.3,*,FL,2002,0,5,7.6,*,FL,2001,1,5,11.1,*,FL,,F,,11,1
008692,Leiden University,Rapenburg 70,Leiden,ZZ,,,,THE NETHERLANDS 2300 RA,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,10,15.3,*,FL,2002,2,2,66.6,*,FL,2001,0,1,0,*,FL,,F,,11,1
008370,University of Victoria,3800 Finnerty Road,Victoria,ZZ,,,,"British Columbia, CANADA V8W   2Y2",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,9,14.2,*,FL,2002,0,10,9,*,FL,2001,3,9,8.3,*,FL,,F,,11,1
010864,University of Dundee,Nethergate,Dundee,ZZ,,,,SCOTLAND DD1 4HN,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,4,14.2,*,FL,2002,0,1,0,*,FL,2001,0,2,0,*,FL,,F,,11,1
020533,Centro De Estudios Universitarios Xochicalco,Calle San Francisco No. 1139,Ensenada,ZZ,,,,"Baja California, MEXICO 22830",First Professional Degree,Frgn Priv,2003,5,35,14.2,,FL,2002,2,34,5.8,,FL,2001,2,23,14.2,*,FL,,F,,11,1
021970,"International Graduate Programme (IGP), Stockholm University",,Stockholm,ZZ,,,,SWEDEN SE-106 91,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,4,14.2,*,FL,2002,0,2,16.6,*,FL,2001,1,1,10,*,FL,,F,,11,1
023351,University of Cambridge - Trinity Hall,Trinity Lane,Cambridge,ZZ,,,,ENGLAND CB2   1TJ,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,2,14.2,*,FL,2002,1,3,14.2,*,FL,2001,0,2,0,*,FL,,F,,11,1
030961,La Trobe University,Bundoora Campus,Bundoora,ZZ,,,,"Victoria, AUSTRALIA 3083",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,4,14.2,*,FL,2002,0,3,0,*,FL,2001,0,0,0,*,FL,,F,,11,1
033343,Universidad Nordestana,Seccion los Arroyos,San Francisco de Macori,ZZ,,,,DOMINICAN REPUBLIC,Master's Degree or Doctor's Degree,Frgn Priv,2003,0,3,14.2,*,FL,2002,1,2,25,*,FL,2001,0,2,0,*,FL,,F,,11,1
012862,Mountview Academy of Theatre Arts,Clarendon Road,London,ZZ,,,,"United Kingdom, ENGLAND N22 6XF",Master's Degree or Doctor's Degree,Frgn Priv,2003,0,4,13.3,*,FL,2002,1,7,12.5,*,FL,2001,1,4,7.6,*,FL,,F,,11,1
022353,London Metropolitan University,166-220 Holloway Road,London,ZZ,,,,ENGLAND N78DB,Master's Degree or Doctor's Degree,Frgn Pub,2003,4,30,13.3,,FL,2002,4,32,12.5,,FL,2001,2,11,18.1,,FL,,F,,11,1
006684,University of Manitoba,"Room 201, Administration Building",Winnipeg,ZZ,,,,"Manitoba, CANADA R3T   2N2",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,6,11.1,*,FL,2002,1,9,7.1,*,FL,2001,0,3,0,*,FL,,F,,11,1
022321,University of Cambridge - Hughes Hall,,Cambridge,ZZ,,,,ENGLAND CB1   2EW,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,2,11.1,*,FL,2002,0,4,12.5,*,FL,2001,1,3,14.2,*,FL,,F,,11,1
025918,"Curtin University of Technology, Western Australia",Kent Street,Bentley,ZZ,,,,"Western Australia, AUSTRALIA 6102",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,7,11.1,*,FL,2002,0,5,7.1,*,FL,2001,1,6,7.6,*,FL,,F,,11,1
008908,University of Birmingham,Edgbaston,Birmingham,ZZ,,,,ENGLAND B15 2TT,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,6,10.3,*,FL,2002,0,7,6.2,*,FL,2001,2,16,5.7,*,FL,,F,,11,1
010090,University of Oxford - Balliol College,Broad Street,Oxford,ZZ,,,,ENGLAND OX1   3BJ,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,4,10,*,FL,2002,0,3,11.1,*,FL,2001,0,3,14.2,*,FL,,F,,11,1
012341,University of Wales - Lampeter,College Ave.,Lampeter,ZZ,,,,"Ceredigion, WALES SA48  7ED",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,1,10,*,FL,2002,1,7,21.4,*,FL,2001,0,2,20,*,FL,,F,,11,1
013225,College of Law,"Braboeuf Manor, St Catherines","Guildford, Surrey",ZZ,,,,ENGLAND GU3 1HA,Graduate/Professional (>= 300 hours),Frgn Priv,2003,1,2,10,*,FL,2002,0,4,0,*,FL,2001,0,4,12.5,*,FL,,F,,11,1
008365,Concordia University,1455 De Maisonneuve West,Montreal,ZZ,,,,"Quebec, CANADA H3G 1M8",Master's Degree or Doctor's Degree,Frgn Pub,2003,3,31,9.6,,FL,2002,1,34,2.9,,FL,2001,1,13,5.1,*,FL,,F,,11,1
007874,University of Calgary,2500 University Drive NW,Calgary,ZZ,,,,"Alberta, CANADA T2N   1N4",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,11,9.3,*,FL,2002,1,13,7.6,*,FL,2001,0,8,4.3,*,FL,,F,,11,1
010067,Lund University,Box 117,Lund,ZZ,,,,SWEDEN 221   00,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,5,9,*,FL,2002,0,3,16.6,*,FL,2001,1,3,16.6,*,FL,,F,,11,1
030787,Universita Commerciale L Bocconi,"Via Sarfatti, 25",Milano,ZZ,,,,ITALY MI 20136,Master's Degree or Doctor's Degree,Frgn Priv,2003,1,11,8.6,*,FL,2002,0,6,6.2,*,FL,2001,1,6,5.8,*,FL,,F,,11,1
012421,University of Auckland,24 Princess Street or Private,Auckland,ZZ,,,,NEW ZEALAND 1001,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,4,8.3,*,FL,2002,1,4,9,*,FL,2001,0,4,0,*,FL,,F,,11,1
006704,University College Cork,Western Road,Cork,ZZ,,,,IRELAND Cork,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,5,7.6,*,FL,2002,1,10,7.1,*,FL,2001,0,11,3.5,*,FL,,F,,11,1
020524,University of Cambridge - Darwin College,Silver Street,Cambridge,ZZ,,,,ENGLAND CB3   9EU,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,2,7.6,*,FL,2002,0,4,5.8,*,FL,2001,1,7,5.8,*,FL,,F,,11,1
023552,Ecole Superieure de Cuisine Francaise,28 rue de l'Abbe Gregoire,Paris,ZZ,,,,FRANCE 75006,Graduate/Professional (>= 300 hours),Frgn Pub,2003,0,6,7.6,*,FL,2002,0,2,12.5,*,FL,2001,1,5,16.6,*,FL,,F,,11,1
009249,University of Liverpool (The),Abercrombie Square,Liverpool,ZZ,,,,ENGLAND L69   3BX,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,12,7.2,*,FL,2002,2,23,5.4,*,FL,2001,1,20,2,*,FL,,F,,11,1
008364,Saint Mary's University,923 Robie Street,Halifax,ZZ,,,,"Nova Scotia, CANADA B3H 3C3",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,5,7.1,*,FL,2002,0,7,0,*,FL,2001,0,2,0,*,FL,,F,,11,1
012802,Pontificia Universidad Catolica Madre y Maestra,Autopista Duarte KM 1 1/2,Santiago,ZZ,,,,DOMINICAN REPUBLIC 809,Master's Degree or Doctor's Degree,Frgn Priv,2003,3,42,7.1,,FL,2002,3,61,4.9,,FL,2001,1,52,1.9,,FL,,F,,11,1
007705,Royal College of Surgeons in Ireland,123 St Stephen's Green,Dublin,ZZ,,,,IRELAND 2,First Professional Degree,Frgn Priv,2003,2,26,7,*,FL,2002,2,26,5.4,*,FL,2001,1,19,2.8,*,FL,,F,,11,1
012811,Instituto Tecnologico de Santo Domingo,"Avenida de Los Proceres, Gala",Santo Domingo,ZZ,,,,DOMINICAN REPUBLIC,Master's Degree or Doctor's Degree,Frgn Priv,2003,0,10,6.8,*,FL,2002,1,10,8.3,*,FL,2001,1,9,9.5,*,FL,,F,,11,1
030954,Bond University,University Drive,Gold Coast,ZZ,,,,"Queensland, AUSTRALIA 4229",Master's Degree or Doctor's Degree,Frgn Priv,2003,1,19,6.8,*,FL,2002,1,15,6.2,*,FL,2001,1,10,4.1,*,FL,,F,,11,1
010588,Australian National University,Chancelry Building 10,Canberra,ZZ,,,,"ACT, AUSTRALIA 0200",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,6,6.6,*,FL,2002,0,6,9,*,FL,2001,1,3,20,*,FL,,F,,11,1
009368,University of Aberdeen,Regent Walk,Aberdeen,ZZ,,,,SCOTLAND AB24 3FX,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,8,6.4,*,FL,2002,2,10,8.5,*,FL,2001,0,13,3,*,FL,,F,,11,1
023473,Universidad de Ciencias Medicas (UCIMED),PO Box 638-1007,San Jose,ZZ,,,,COSTA RICA,First Professional Degree,Frgn Priv,2003,1,15,6.3,*,FL,2002,1,16,4.3,*,FL,2001,1,16,6.2,*,FL,,F,,11,1
008369,University of British Columbia,1036-1874 East Mall,Vancouver,ZZ,,,,"British Columbia, CANADA V6T   1Z1",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,32,6.2,,FL,2002,1,27,3,*,FL,2001,1,40,2.5,,FL,,F,,11,1
021805,Middlesex University,Bramley Road,London,ZZ,,,,ENGLAND N14 4Y2,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,4,6.2,*,FL,2002,1,8,5.2,*,FL,2001,0,4,7.1,*,FL,,F,,11,1
010977,Universidad Central del Este,Avenida Circunvalacion,San Pedro de Macoris,ZZ,,,,DOMINICAN REPUBLIC,Master's Degree or Doctor's Degree,Frgn Priv,2003,5,82,6,,FL,2002,6,99,6,,FL,2001,1,87,1.1,,FL,,F,,11,1
006686,University of Ottawa,550 Cumberland,Ottawa,ZZ,,,,"Ontario, CANADA K1N   6N5",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,8,5.8,*,FL,2002,0,3,0,*,FL,2001,0,6,0,*,FL,,F,,11,1
008450,Kasturba Medical College,"University Medical, Manipal",Manipal,ZZ,,,,"Karnataka, INDIA 576   119",Master's Degree or Doctor's Degree,Frgn Priv,2003,2,10,5.6,*,FL,2002,0,20,3,*,FL,2001,1,23,5.2,*,FL,,F,,11,1
008449,Acadia University,,Wolfville,ZZ,,,,"Nova Scotia, CANADA BOP   1X0",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,8,5.5,*,FL,2002,0,9,0,*,FL,2001,0,1,0,*,FL,,F,,11,1
011091,Flinders University of South Australia (The),Sturt Road,"Bedford Park, S.A.",ZZ,,,,AUSTRALIA 5042,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,20,5.5,*,FL,2002,2,22,7.6,*,FL,2001,1,12,4.7,*,FL,,F,,11,1
006671,Katholieke Universiteit Leuven,Naamsestraat 22,Leuven,ZZ,,,,BELGIUM B-3000,Master's Degree or Doctor's Degree,Frgn Priv,2003,0,8,5.4,*,FL,2002,0,12,7.8,*,FL,2001,2,17,9.5,*,FL,,F,,11,1
008398,University of Sheffield (The),Western Bank,Sheffield,ZZ,,,,"South Yorkshire, ENGLAND SI0 2TN",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,13,5.4,*,FL,2002,0,9,0,*,FL,2001,0,15,0,*,FL,,F,,11,1
008687,University of Essex,Wivenhoe Park,Colchester,ZZ,,,,"Essex, ENGLAND LO4   3SQ",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,16,5.4,*,FL,2002,0,11,6.6,*,FL,2001,1,10,6.8,*,FL,,F,,11,1
008461,University of Saint Andrews,79 North Street - Saint Andrews,Saint Andrews,ZZ,,,,"Fife, SCOTLAND KY16  9AJ",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,38,5.2,,FL,2002,0,36,0,,FL,2001,0,32,0,,FL,,F,,11,1
030917,Karol Marcinkowski University of Medical Sciences,617-01 Poznan ul. Fredry 10,Poznan,ZZ,,,,POLAND,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,28,5.2,*,FL,2002,2,25,5.2,*,FL,2001,2,23,2.8,*,FL,,F,,11,1
006681,St. Francis Xavier University,PO Box 5000,Antigonish,ZZ,,,,"Nova Scotia, CANADA B2G 2W5",Master's Degree or Doctor's Degree,Frgn Priv,2003,0,6,5,*,FL,2002,0,6,6.6,*,FL,2001,1,8,8.3,*,FL,,F,,11,1
030762,Covenant Bible College,630 Westchester Road,Strathmore,ZZ,,,,"Alberta, CANADA T1P 1H8",Non-Degree 1 Year (900-1799 hours),Frgn Priv,2003,1,28,4.6,*,FL,2002,1,20,5.1,*,FL,2001,1,16,6,*,FL,,F,,11,1
007679,York University,4700 Keele Street,Toronto,ZZ,,,,"Ontario, CANADA M3J 1P3",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,12,4.5,*,FL,2002,1,22,9.3,*,FL,2001,1,10,10.5,*,FL,,F,,11,1
008362,University of Alberta (The),University Campus,Edmonton,ZZ,,,,"Alberta, CANADA T6G 2E1",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,8,4.5,*,FL,2002,0,7,0,*,FL,2001,0,7,0,*,FL,,F,,11,1
009444,University of Lancaster,,Lancaster,ZZ,,,,ENGLAND LA1 4YW,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,6,4.5,*,FL,2002,1,11,8.3,*,FL,2001,0,5,4.7,*,FL,,F,,11,1
012198,University of Bradford,Richmond Road,Bradford,ZZ,,,,"West Yorkshire, ENGLAND BD7 1DP",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,6,4.5,*,FL,2002,0,6,3.8,*,FL,2001,0,10,4.1,*,FL,,F,,11,1
012539,London Institute-Central Saint Martins College of Art & Design,65 Davies Street,London,ZZ,,,,ENGLAND W1Y 2DA,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,12,4.5,*,FL,2002,0,7,0,*,FL,2001,0,3,0,*,FL,,F,,11,1
009860,University of Surrey,,Guildford,ZZ,,,,"Surrey, ENGLAND GU2 7XH",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,9,4.3,*,FL,2002,0,8,10,*,FL,2001,1,6,12.5,*,FL,,F,,11,1
021670,Prairie Bible Institute,319 5th Avenue North,Three Hills,ZZ,,,,"Alberta, CANADA T0M   2N0",Bachelor's Degree,Frgn Priv,2003,1,23,4.3,*,FL,2002,1,14,2.9,*,FL,2001,0,9,0,*,FL,,F,,11,1
031235,"Hogeschool van Amsterdam, Institute of Physical Therapy",Tafelbergweg 51,Amsterdam - Zuidoost,ZZ,,,,THE NETHERLANDS 1105 BD,Bachelor's Degree,Frgn Priv,2003,1,6,4.3,*,FL,2002,0,6,0,*,FL,2001,0,11,0,*,FL,,F,,11,1
008380,University of Warwick,,Coventry,ZZ,,,,ENGLAND CV4 7AL,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,11,4,*,FL,2002,0,10,0,*,FL,2001,0,4,0,*,FL,,F,,11,1
021951,University of Westminster,309 Regent Street,London,ZZ,,,,ENGLAND W1R 8AL,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,19,4,*,FL,2002,1,14,2.6,*,FL,2001,0,16,3.2,*,FL,,F,,11,1
021086,London Academy of Music & Dramatic Art,"Tower House, 226 Cromwell Road",London,ZZ,,,,ENGLAND SW5   OSR,Non-Degree 3 Plus Years (>= 2700 hours),Frgn Priv,2003,0,9,3.8,*,FL,2002,1,10,5,*,FL,2001,0,7,0,*,FL,,F,,11,1
007881,American University of Paris,31 Avenue Bosquet,Paris,ZZ,,,,FRANCE 75007,Bachelor's Degree,Frgn Priv,2003,2,55,3.6,,FL,2002,3,57,5.2,,FL,2001,1,38,2.6,,FL,,F,,11,1
012766,"National University of Ireland, Galway",University Road,Galway,ZZ,,,,IRELAND,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,12,3.5,*,FL,2002,0,6,0,*,FL,2001,0,10,0,*,FL,,F,,11,1
006689,University of Windsor,401 Sunset Avenue,Windsor,ZZ,,,,"Ontario, CANADA N9B   3P4",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,10,3.4,*,FL,2002,0,8,4,*,FL,2001,1,11,4.7,*,FL,,F,,11,1
011679,University of Bath,Claverton Down,Bath,ZZ,,,,ENGLAND BA2   7AY,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,12,3.4,*,FL,2002,0,11,0,*,FL,2001,0,6,0,*,FL,,F,,11,1
010692,University of Queensland (The),St Lucia,Brisbane,ZZ,,,,"Queensland, AUSTRALIA 4072",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,30,3.3,,FL,2002,0,12,0,*,FL,2001,0,12,0,*,FL,,F,,11,1
023518,Universidad Iberoamericana (UNIBE),Avenue Francia 129,Santo Domingo,ZZ,,,,DOMINICAN REPUBLIC,Master's Degree or Doctor's Degree,Frgn Priv,2003,5,154,3.2,,FL,2002,5,177,2.8,,FL,2001,5,191,2.6,,FL,,F,,11,1
030672,University of Sydney,Parramatta Road,Sydney,ZZ,,,,"NSW, AUSTRALIA 2006",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,62,3.2,,FL,2002,0,46,0,,FL,2001,0,34,0,,FL,,F,,11,1
006688,University of Toronto,27 King's College Circle,Toronto,ZZ,,,,"Ontario, CANADA M5S 1A1",Master's Degree or Doctor's Degree,Frgn Pub,2003,2,63,3.1,,FL,2002,0,59,0,,FL,2001,3,58,5.1,,FL,,F,,11,1
006679,Queen's University at Kingston,99 University Avenue,Kingston,ZZ,,,,"Ontario, CANADA K7L   3N6",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,12,2.9,*,FL,2002,0,10,3.8,*,FL,2001,1,12,5.5,*,FL,,F,,11,1
008377,Universiteit Van Amsterdam,Spui 21,Amsterdam,ZZ,,,,THE NETHERLANDS 1012 WX,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,34,2.9,,FL,2002,4,60,6.6,,FL,2001,3,55,5.4,,FL,,F,,11,1
012136,University of Manchester (The),Oxford Road,Manchester,ZZ,,,,ENGLAND M13   9PL,Master's Degree or Doctor's Degree,Frgn Pub,2003,2,67,2.9,,FL,2002,2,65,3,,FL,2001,1,55,1.8,,FL,,F,,11,1
033353,Medical University of Silesia (The),ul. Poniatowskiego 15,Katowice,ZZ,,,,POLAND 40-952,First Professional Degree,Frgn Pub,2003,1,17,2.9,*,FL,2002,0,14,0,*,FL,2001,0,3,0,*,FL,,F,,11,1
006839,University of Edinburgh,"Old College, South Bridge",Edinburgh,ZZ,,,,SCOTLAND EH8 9YL,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,35,2.8,,FL,2002,1,46,2.1,,FL,2001,0,30,0,,FL,,F,,11,1
030738,University of Debrecen Medical and Health Science Center,Nagyerdei Krt 98,Debrecen,ZZ,,,,HUNGARY H-4012,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,35,2.8,,FL,2002,0,25,0,*,FL,2001,0,19,0,*,FL,,F,,11,1
008670,University of New South Wales,Anzac Parade,Sydney,ZZ,,,,"NSW, AUSTRALIA 2052",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,12,2.7,*,FL,2002,0,10,3.3,*,FL,2001,1,15,3.2,*,FL,,F,,11,1
009086,University of London - Royal Holloway,,Egham,ZZ,,,,"Surrey, ENGLAND TW20  OEX",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,10,2.7,*,FL,2002,0,17,2.5,*,FL,2001,0,9,3.4,*,FL,,F,,11,1
010594,"Richmond College, The American International University in London",Queen's Road,Richmond,ZZ,,,,"Surrey, ENGLAND TW10  6JP",Master's Degree or Doctor's Degree,Frgn Priv,2003,1,36,2.7,,FL,2002,0,30,0,,FL,2001,1,36,2.7,,FL,,F,,11,1
010915,University of East Anglia,,Norwich,ZZ,,,,"Norfolk, ENGLAND NR4 7TJ",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,19,2.7,*,FL,2002,1,11,3.4,*,FL,2001,0,7,0,*,FL,,F,,11,1
011722,Briercrest Bible College,510 College Drive,Caronport,ZZ,,,,"Saskatchewan, CANADA S0H 0S0",Master's Degree or Doctor's Degree,Frgn Priv,2003,1,36,2.7,,FL,2002,1,22,5.5,*,FL,2001,1,17,6.6,*,FL,,F,,11,1
006842,University of Dublin Trinity College,College Street,Dublin 2,ZZ,,,,IRELAND,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,40,2.5,,FL,2002,1,40,2.5,,FL,2001,0,38,0,,FL,,F,,11,1
012206,James Cook University,Douglas Campus,Townsville,ZZ,,,,"Queensland, AUSTRALIA 4811",Master's Degree or Doctor's Degree,Frgn Pub,2003,0,15,2.5,*,FL,2002,1,17,6.2,*,FL,2001,0,8,4.7,*,FL,,F,,11,1
020987,Fatima College of Medicine,120 McArthur Highway,Valenzuela City,ZZ,,,,"Metro Manila, PHILIPPINES 1405",Master's Degree or Doctor's Degree,Frgn Priv,2003,1,10,2.5,*,FL,2002,0,12,0,*,FL,2001,0,17,2.7,*,FL,,F,,11,1
006677,McGill University,845 Sherbrooke Street West,Montreal,ZZ,,,,"Quebec, CANADA H3A   2T5",Master's Degree or Doctor's Degree,Frgn Pub,2003,3,130,2.3,,FL,2002,1,153,0.6,,FL,2001,3,154,1.9,,FL,,F,,11,1
006700,University of York (The),Heslington Hall,York,ZZ,,,,ENGLAND YO1 5DD,Master's Degree or Doctor's Degree,Frgn Pub,2003,0,17,2,*,FL,2002,0,21,1.9,*,FL,2001,1,11,2,*,FL,,F,,11,1
009500,Memorial University of Newfoundland,Elizabeth Avenue,Saint John's,ZZ,,,,"Newfoundland, CANADA A1C 5S7",Master's Degree or Doctor's Degree,Frgn Pub,2003,1,17,2,*,FL,2002,0,17,0,*,FL,2001,0,14,0,*,FL,,F,,11,1
008394,University of Oxford,University Offices,Oxford,ZZ,,,,ENGLAND OX1   2JD,Master's Degree or Doctor's Degree,Frgn Pub,2003,1,23,1.8,*,FL,2002,0,19,0,*,FL,2001,0,13,0,*,FL,,F,,11,1
